Removed Pin From Net: NetName=NetFB1_2 Pin=P1-1
Removed Pin From Net: NetName=NetP1_5 Pin=P1-5
Removed Pin From Net: NetName=VBAT Pin=P3-3
Removed Pin From Net: NetName=GND Pin=Q_RLY-1
Removed Pin From Net: NetName=GND Pin=R_FIRECTL2-2
Removed Member From Class: ClassName=LPCOSensor3vValve Member=R_FIRECTL2
Change Component Footprint: Designator=Q_RLY Old Footprint=FAIR-TO-92 New Footprint=SOT96P240X110-3N
Change Component Footprint: Designator=P1 Old Footprint=FP-U5-1-MFG New Footprint=FP-DBV0006A-MFG
Change Component Comment : Designator=Q_RLY Old Comment=2N3904BU New Comment=DMN2041L-7
Change Component Comment : Designator=R_FIRECTL1 Old Comment=4k7 New Comment=180
Change Component Comment : Designator=P1 Old Comment=MAX40200AUK+T New Comment=LM74700QDBVRQ1
Change Component Designator: OldDesignator=24V NewDesignator=3V
Change Component Designator: OldDesignator=TP_24V NewDesignator=TP_3V
Change Managed Component Library Link : Designator=P1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=33B7B3F2-2C4E-4FAE-AE61-626B7D39DC73 New ItemGUID=2B1EF449-7775-48E5-8013-296FEAFC0458 Old RevisionGUID=9CA7F2AD-9B02-4345-B4E5-8066694A0FCE New RevisionGUID=DD9643A9-5867-4360-9B84-16D70393CBD9
Change Managed Component Library Link : Designator=Q_RLY Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=D82A9182-C512-49AD-90DF-5A1BBDA60F70 New ItemGUID= Old RevisionGUID=6EAAE616-8D62-4941-9E44-EB706EA21933 New RevisionGUID=
Change component parameters: Designator = "P1" ("P1"); Footprint = "FP-U5-1-MFG"; UniqueID = "\QCFWVLMK" ("\QCFWVLMK")
Change component parameters (AddParameter): Name = "Nominal Supply Current"; Value = "80uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Outputs"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/lm74700qdbvrq1-texas+instruments-87700446"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "DBV0006A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Standoff Height"; Value = "0mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-40°„C to +125°„C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+125°„C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-40°„C"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q_RLY" ("Q_RLY"); Footprint = "FAIR-TO-92"; UniqueID = "\CCFWDPJU" ("\CCFWDPJU")
Change component parameters (AddParameter): Name = "Arrow Part Number"; Value = "DMN2041L-7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/dmn2041l-7/diodes-incorporated?region=nac"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Link"; Value = "https://www.diodes.com//assets/Datasheets/products_inactive_data/DMN2041L.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "DMN2041L-7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Part Number"; Value = "621-DMN2041L-7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMN2041L-7?qs=tiksPeNXt0LSbn3jTreVOg%3D%3D"; VariantName = "[No Variations]"
Added Component: Designator=C_PWR11(FP-C0805C-DN-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "200 pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Cap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "CAP CER 200PF 50V NP0 0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.88mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ipc Land Pattern Name"; Value = "CAPC200125X78"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "C0805C201F5GACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50volts 200pF C0G 1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/c0805c201f5gactu-kemet-16430354"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "C0805C-DN"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°„C to +125°„C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Characteristic"; Value = "C0G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "30ppm/°„C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+125°„C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°„C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0.01"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "200 pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50 V"; VariantName = "[No Variations]"
Added Component: Designator=C_PWR12(FP-C0805C-DN-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "200 pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Cap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "CAP CER 200PF 50V NP0 0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.88mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ipc Land Pattern Name"; Value = "CAPC200125X78"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "C0805C201F5GACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50volts 200pF C0G 1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/c0805c201f5gactu-kemet-16430354"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "C0805C-DN"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°„C to +125°„C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Characteristic"; Value = "C0G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "30ppm/°„C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+125°„C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°„C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0.01"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "200 pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50 V"; VariantName = "[No Variations]"
Added Component: Designator=IC2(D0008A_M)
Add component (AddParameter): Name = "CMR (Typ)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CMRR(Min)(dB)"; Value = "100"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Code_JEDEC"; Value = "MS-012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Common Mode Range(Max)(V)"; Value = "26"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Common Mode Range(Min)(V)"; Value = "0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=INA219&fileType=pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.ti.com/lit/ml/msoi002j/msoi002j.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "SBOS448F"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Eco-Plan"; Value = "Green (RoHS & no Sb/Br)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gain"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gain Error (max)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gain(V/V)"; Value = "1, 0.5, 0.25, 0.125"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Offset (+/-)(Max)(uV)"; Value = "100"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Offset Drift (+/-)(Max)(uV/Degrees Celsius)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Offset Voltage (max)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Supply Range"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Type"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "8-Pin Plastic Small Outline, Body 4.9 x 3.9 mm, Pitch 1.27 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "D0008A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "4040047-3/M, 06/2011"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packing"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "INA219AIDR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Quiescent Current (+/-)(Typ)(mA)"; Value = "0.7"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Quiescent Current (Typ)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rating"; Value = "Catalog"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Small-Signal Bandwidth(Typ)(MHz)"; Value = "0.011"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SubFamily"; Value = "Current Shunt Monitor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Input Range (Bus)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vs(Max)(V)"; Value = "5.5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vs(Min)(V)"; Value = "3"; VariantName = "[No Variations]"
Added Component: Designator=PWR_SW_NO_PROTECT(FP-M20-9990246-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Conn"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://cdn.harwin.com/pdfs/M20-999.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn Gender"; Value = "Male"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn Orientation"; Value = "Vertical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material"; Value = "Tin,Nickel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "3A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Connectors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Headers and Wire Housings"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "CONN HEADER VERT 2POS 2.54MM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "8.99mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Harwin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "M20-9990246"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "2.54mm (0.1") Pitch SIL Vertical PC Tail Pin Header, 6.1mm mating pin height, tin, 2 contacts"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Contacts"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Rows"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/m20-9990246-harwin-2590635"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "M20-9990246"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "2.54mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-40°„C to +105°„C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+105°„C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-40°„C"; VariantName = "[No Variations]"
Added Component: Designator=Q_3V3_HC(SOT96P240X110-3N)
Add component (AddParameter): Name = "Arrow Part Number"; Value = "DMN2041L-7"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/dmn2041l-7/diodes-incorporated?region=nac"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://www.diodes.com//assets/Datasheets/products_inactive_data/DMN2041L.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "DMN2041L-7"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "621-DMN2041L-7"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMN2041L-7?qs=tiksPeNXt0LSbn3jTreVOg%3D%3D"; VariantName = "[No Variations]"
Added Component: Designator=Q_PROTECT(SOT96P240X110-3N)
Add component (AddParameter): Name = "Arrow Part Number"; Value = "DMN2041L-7"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/dmn2041l-7/diodes-incorporated?region=nac"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://www.diodes.com//assets/Datasheets/products_inactive_data/DMN2041L.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "DMN2041L-7"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "621-DMN2041L-7"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMN2041L-7?qs=tiksPeNXt0LSbn3jTreVOg%3D%3D"; VariantName = "[No Variations]"
Added Component: Designator=R_CAP_CHRG_OPT(RESC2013X60X40ML20T25)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERA6AEB123V"; VariantName = "[No Variations]"
Added Pin To Net: NetName=NetP1_5 Pin=C_PWR12-1
Added Pin To Net: NetName=GND Pin=C_PWR12-2
Added Pin To Net: NetName=GND Pin=IC2-1
Added Pin To Net: NetName=GND Pin=IC2-2
Added Pin To Net: NetName=I2C_SDA Pin=IC2-3
Added Pin To Net: NetName=I2C_SCL Pin=IC2-4
Added Pin To Net: NetName=GND Pin=IC2-6
Added Pin To Net: NetName=3V3HC Pin=IC2-7
Added Pin To Net: NetName=3V3HC Pin=IC2-8
Added Pin To Net: NetName=NetP1_5 Pin=P1-4
Added Pin To Net: NetName=NetP1_5 Pin=PWR_SW_NO_PROTECT-1
Added Pin To Net: NetName=NetFB1_2 Pin=PWR_SW_NO_PROTECT-2
Added Pin To Net: NetName=VBAT Pin=Q_3V3_HC-3
Added Pin To Net: NetName=NetP1_5 Pin=Q_PROTECT-3
Added Pin To Net: NetName=GND Pin=Q_RLY-2
Added Pin To Net: NetName=3V3 Pin=R_CAP_CHRG_OPT-1
Change Net Name : Old Net Name=NetP1_5 New Net Name=V_PROTECT
Added Pin To Net: NetName=CAP_CHRG_EN Pin=MCU1-2
Added Pin To Net: NetName=CAP_CHRG_EN Pin=Q_3V3_HC-1
Added Pin To Net: NetName=CAP_CHRG_EN Pin=R_CAP_CHRG_OPT-2
Added Net: Name=CAP_CHRG_EN
Added Pin To Net: NetName=INA219_EN Pin=IC2-5
Added Pin To Net: NetName=INA219_EN Pin=MCU1-13
Added Net: Name=INA219_EN
Added Pin To Net: NetName=NetC_PWR11_1 Pin=C_PWR11-1
Added Pin To Net: NetName=NetC_PWR11_1 Pin=P1-6
Added Pin To Net: NetName=NetC_PWR11_1 Pin=Q_PROTECT-2
Added Net: Name=NetC_PWR11_1
Added Pin To Net: NetName=NetC_PWR11_2 Pin=C_PWR11-2
Added Pin To Net: NetName=NetC_PWR11_2 Pin=P1-1
Added Net: Name=NetC_PWR11_2
Added Pin To Net: NetName=NetP1_5 Pin=P1-5
Added Pin To Net: NetName=NetP1_5 Pin=Q_PROTECT-1
Added Net: Name=NetP1_5
Added Pin To Net: NetName=NetP3_3 Pin=P3-3
Added Pin To Net: NetName=NetP3_3 Pin=Q_3V3_HC-2
Added Net: Name=NetP3_3
Added Pin To Net: NetName=NetQ_RLY_1 Pin=Q_RLY-1
Added Pin To Net: NetName=NetQ_RLY_1 Pin=R_FIRECTL1-2
Added Net: Name=NetQ_RLY_1
Added Member To Class: ClassName=LPCOSensor3vValve Member=Component C_PWR11 C22U
Added Member To Class: ClassName=LPCOSensor3vValve Member=Component C_PWR12 C22U
Added Member To Class: ClassName=LPCOSensor3vValve Member=Component IC2 INA219AIDR
Added Member To Class: ClassName=LPCOSensor3vValve Member=Component PWR_SW_NO_PROTECT M20-9990246
Added Member To Class: ClassName=LPCOSensor3vValve Member=Component Q_3V3_HC DMN2041L-7
Added Member To Class: ClassName=LPCOSensor3vValve Member=Component Q_PROTECT DMN2041L-7
Added Member To Class: ClassName=LPCOSensor3vValve Member=Component R_CAP_CHRG_OPT 4k7
Added Room: Name=LPCOSensor3vValve
